DATABASE SCOPED RESOURCE GOVERNOR,21060,EOB,,,0
EXTERNAL RESOURCE POOL,21061,EOB,,,0
BROKER PRIORITY,21072,EOB,,,0
SERVER,21075,EOB,,,0
TRIGGER,21076,EOB,,,0
ASSEMBLY,21313,EOB,,,0
DATABASE SCOPED CONFIGURATION,21316,EOB,,,0
FUNCTION,21318,EOB,,,0
FUNCTION,21321,EOB,,,0
PARTITION SCHEME,21328,EOB,,,0
SQL USER,21333,EOB,,,0
CONTRACT,21571,EOB,,,0
TRIGGER,21572,EOB,,,0
FUNCTION,21574,EOB,,,0
MESSAGE TYPE,21581,EOB,,,0
ROUTE,21586,EOB,,,0
STATISTICS,21587,EOB,,,0
ASYMMETRIC KEY USER,21825,EOB,,,0
CERTIFICATE USER,21827,EOB,,,0
AUDIT,21828,EOB,,,0
GROUP USER,21831,EOB,,,0
EXTERNAL GROUP USER,21840,EOB,,,0
SQL USER,21843,EOB,,,0
WINDOWS USER,21847,EOB,,,0
EXTERNAL USER,21848,EOB,,,0
SERVICE,22099,EOB,,,0
INDEX,22601,EOB,,,0
LOGIN,22604,EOB,,,0
XML SCHEMA COLLECTION,22611,EOB,,,0
TYPE,22868,EOB,,,0
SERVER AUDIT,8257,EOD,,,0
CHECK CONSTRAINT,8259,EOD,,,0
DEFAULT,8260,EOD,,,0
FOREIGN KEY CONSTRAINT,8262,EOD,,,0
STORED PROCEDURE,8272,EOD,,,0
RULE,8274,EOD,,,0
TABLE SYSTEM,8275,EOD,,,0
TRIGGER SERVER,8276,EOD,,,0
TABLE,8277,EOD,,,0
VIEW,8278,EOD,,,0
STORED PROCEDURE EXTENDED,8280,EOD,,,0
DATABASE AUDIT SPECIFICATION,16708,EOD,,,0
EXTERNAL LANGUAGE,16716,EOD,,,0
SERVER AUDIT SPECIFICATION,16723,EOD,,,0
TRIGGER ASSEMBLY,16724,EOD,,,0
DATABASE,16964,EOD,,,0
OBJECT,16975,EOD,,,0
DATABASE SCOPED CREDENTIAL,17220,EOD,,,0
EDGE CONSTRAINT,17221,EOD,,,0
FULLTEXT CATALOG,17222,EOD,,,0
STORED PROCEDURE ASSEMBLY,17232,EOD,,,0
SCHEMA,17235,EOD,,,0
CREDENTIAL,17475,EOD,,,0
EXTERNAL DATA SOURCE,17477,EOD,,,0
EVENT NOTIFICATION SERVER,17491,EOD,,,0
DATABASE EVENT SESSION,17732,EOD,,,0
EVENT SESSION,17747,EOD,,,0
AGGREGATE,17985,EOD,,,0
EXTERNAL FILE FORMAT,17989,EOD,,,0
FUNCTION TABLE-VALUED INLINE SQL,17993,EOD,,,0
PARTITION FUNCTION,18000,EOD,,,0
STORED PROCEDURE REPLICATION FILTER,18002,EOD,,,0
FUNCTION TABLE-VALUED SQL,18004,EOD,,,0
AVAILABILITY GROUP,18241,EOD,,,0
RESOURCE GOVERNOR,18258,EOD,,,0
SERVER ROLE,18259,EOD,,,0
WINDOWS GROUP,18263,EOD,,,0
ASYMMETRIC KEY,19265,EOD,,,0
COLUMN ENCRYPTION KEY,19267,EOD,,,0
DATABASE ENCRYPTION KEY,19268,EOD,,,0
MASTER KEY,19277,EOD,,,0
PRIMARY KEY,19280,EOD,,,0
SYMMETRIC KEY,19283,EOD,,,0
ASYMMETRIC KEY LOGIN,19521,EOD,,,0
CERTIFICATE LOGIN,19523,EOD,,,0
EXTERNAL LIBRARY,19525,EOD,,,0
FULLTEXT STOPLIST,19526,EOD,,,0
EXTERNAL GROUP LOGIN,19536,EOD,,,0
ROLE,19538,EOD,,,0
SQL LOGIN,19539,EOD,,,0
WINDOWS LOGIN,19543,EOD,,,0
EXTERNAL LOGIN,19544,EOD,,,0
COLUMN MASTER KEY,19779,EOD,,,0
REMOTE SERVICE BINDING,20034,EOD,,,0
EVENT NOTIFICATION DATABASE,20036,EOD,,,0
EVENT NOTIFICATION,20037,EOD,,,0
FUNCTION SCALAR SQL,20038,EOD,,,0
EVENT NOTIFICATION OBJECT,20047,EOD,,,0
SYNONYM,20051,EOD,,,0
SERVER CONFIG,20291,EOD,,,0
SEQUENCE OBJECT,20307,EOD,,,0
Undocumented,20545,EOD,,,0
CRYPTOGRAPHIC PROVIDER,20547,EOD,,,0
ENDPOINT,20549,EOD,,,0
SEARCH PROPERTY LIST,20550,EOD,,,0
SECURITY POLICY,20563,EOD,,,0
ADHOC QUERY,20801,EOD,,,0
PREPARED ADHOC QUERY,20816,EOD,,,0
QUEUE,20819,EOD,,,0
UNIQUE CONSTRAINT,20821,EOD,,,0
APPLICATION ROLE,21057,EOD,,,0
CERTIFICATE,21059,EOD,,,0
DATABASE SCOPED RESOURCE GOVERNOR,21060,EOD,,,0
EXTERNAL RESOURCE POOL,21061,EOD,,,0
BROKER PRIORITY,21072,EOD,,,0
SERVER,21075,EOD,,,0
TRIGGER,21076,EOD,,,0
XREL TREE,21080,EOD,,,0
ASSEMBLY,21313,EOD,,,0
DATABASE SCOPED CONFIGURATION,21316,EOD,,,0
FUNCTION SCALAR ASSEMBLY ,21318,EOD,,,0
FUNCTION SCALAR INLINE SQL ,21321,EOD,,,0
PARTITION SCHEME,21328,EOD,,,0
USER,21333,EOD,,,0
CONTRACT,21571,EOD,,,0
